Date,Open,High,Low,Close,Adj Close,Volume
1999-11-22,8.437500,10.687500,8.437500,10.500000,10.500000,1010400
1999-11-29,10.625000,10.625000,8.500000,9.437500,9.437500,4488800
1999-12-06,9.375000,9.687500,8.062500,8.062500,8.062500,2662600
1999-12-13,8.062500,8.500000,7.812500,8.375000,8.375000,1438100
1999-12-20,8.375000,9.187500,8.312500,8.875000,8.875000,1126600
1999-12-27,8.875000,10.125000,8.750000,9.437500,9.437500,1872700
2000-01-03,9.562500,9.687500,8.937500,9.562500,9.562500,1211600
2000-01-10,9.562500,9.812500,9.125000,9.562500,9.562500,566900
2000-01-17,9.562500,10.000000,9.250000,9.750000,9.750000,539500
2000-01-24,9.937500,10.062500,9.250000,9.250000,9.250000,588300
2000-01-31,9.375000,9.500000,9.000000,9.000000,9.000000,670100
2000-02-07,9.187500,9.187500,8.687500,8.687500,8.687500,433900
2000-02-14,8.812500,10.250000,8.625000,9.187500,9.187500,1388000
2000-02-21,9.375000,9.750000,8.750000,8.812500,8.812500,869300
2000-02-28,8.937500,9.437500,8.500000,8.875000,8.875000,522000
2000-03-06,8.812500,9.375000,8.375000,9.312500,9.312500,1171100
2000-03-13,9.437500,12.875000,8.875000,12.375000,12.375000,2189800
2000-03-20,13.000000,15.937500,12.562500,15.687500,15.687500,2764600
2000-03-27,16.500000,28.500000,16.000000,18.500000,18.500000,6686600
2000-04-03,17.500000,17.625000,13.375000,15.937500,15.937500,2166400
2000-04-10,16.437500,16.812500,13.750000,13.875000,13.875000,820600
2000-04-17,13.750000,17.250000,13.312500,17.062500,17.062500,775500
2000-04-24,17.062500,20.000000,16.437500,17.500000,17.500000,1051700
2000-05-01,17.437500,18.812500,17.000000,18.687500,18.687500,591600
2000-05-08,18.687500,19.062500,17.312500,17.500000,17.500000,493200
2000-05-15,17.500000,17.562500,13.625000,13.875000,13.875000,933800
2000-05-22,13.875000,13.875000,10.750000,12.687500,12.687500,755900
2000-05-29,13.000000,16.000000,13.000000,14.500000,14.500000,298600
2000-06-05,14.625000,15.625000,13.250000,13.500000,13.500000,440100
2000-06-12,13.625000,14.000000,13.062500,13.500000,13.500000,476900
2000-06-19,13.812500,16.500000,13.500000,15.937500,15.937500,624900
2000-06-26,15.500000,19.500000,15.500000,18.875000,18.875000,1197600
2000-07-03,17.125000,18.687500,16.500000,17.062500,17.062500,246900
2000-07-10,16.937500,17.750000,16.937500,17.375000,17.375000,446000
2000-07-17,17.437500,19.250000,17.187500,18.937500,18.937500,420600
2000-07-24,19.000000,21.562500,18.625000,20.000000,20.000000,506400
2000-07-31,20.000000,20.000000,14.687500,15.250000,15.250000,908900
2000-08-07,15.250000,20.562500,14.875000,19.500000,19.500000,1642100
2000-08-14,19.375000,20.937500,18.187500,20.125000,20.125000,3101700
2000-08-21,20.375000,20.375000,19.500000,19.625000,19.625000,1608800
2000-08-28,19.562500,23.250000,19.000000,22.437500,22.437500,1841100
